Company,Year,lq_pay,m_pay,uq_pay
Land Securities,2024,57313,90810,135816
Land Securities,2023,54032,87925,145648
Legal & General,2024,38997,65490,107476
Legal & General,2020,29030,47472,90324
Legal & General,2019,27408,41177,67744
Legal & General,2021,34974,52466,90039
Legal & General,2023,33950,59094,97774
Legal & General,2022,32985,54058,86376
Lloyds Banking,2020,26135,36165,63522
Lloyds Banking,2019,26419,36975,66944
Lloyds Banking,2021,28005,39396,73629
Lloyds Banking,2024,34122,49372,88790
Lloyds Banking,2023,32921,46209,82030
Lloyds Banking,2022,31421,43760,78833
London Stock Exchange,2024,92861,123396,148229
London Stock Exchange,2020,74004,102188,139913
London Stock Exchange,2019,79292,114401,128917
London Stock Exchange,2021,66388,101919,131446
London Stock Exchange,2023,84375,111358,152769
London Stock Exchange,2022,77738,118550,152968
M & G,2024,64462,106067,147037
M & G,2020,57490,85410,124603
M & G,2021,55716,86789,124704
M & G,2019,46854,64707,105542
M & G,2023,62550,99317,137804
M & G,2022,53722,87789,135844
Man Group,2024,86381,134165,240234
Man Group,2023,101097,151181,265376
Man Group,2022,84917,141226,273326
Man Group,2021,84873,137362,254309
Man Group,2020,83822,130819,219808
Man Group,2019,83084,126740,227235
Marks and Spencers,2025,24000,27000,28000
Marks and Spencers,2024,24000,26000,31000
Marks and Spencers,2023,22000,24000,28000
Marks and Spencers,2022,21000,22000,26000
Marks and Spencers,2021,20000,21000,25000
Marks and Spencers,2020,19000,21000,24000
Marshalls,2023,31000,39000,45000
Marshalls,2022,33000,43000,53000
Marshalls,2021,31000,40000,45000
Marshalls,2020,24000,37000,44000
Marshalls,2019,28000,36000,43000
ME Group International,2023,28652,31970,39991
Meggitt,2021,35376,44570,60952
Meggitt,2019,32879,42861,58479
Meggitt,2020,34019,43831,59994
Melrose,2024,42000,53000,65000
Melrose,2020,34000,42000,53000
Melrose,2021,35000,41000,52000
Melrose,2019,32000,40000,50000
Melrose,2023,39000,50000,61000
Melrose,2022,38000,47000,60000
Metro Bank,2024,32200,42900,67400
Micro Focus International,2021,49000,74000,118000
Micro Focus International,2020,49000,74000,101000
Micro Focus International,2019,45000,66000,111000
Mitchells and Butlers,2024,20826,20833,21298
Mitchells and Butlers,2023,18218,18964,20058
Mitchells and Butlers,2022,15161,17290,17778
Mitchells and Butlers,2021,15215,16269,17126
Mitchells and Butlers,2020,14924,15583,15806
Mitchells and Butlers,2019,14014,15046,15881
Mitie,2024,23452,25622,28680
Mitie,2023,21565,23610,28357
Mitie,2022,20433,23988,27519
Mobico (National Express),2024,34151,39939,47803
Mobico (National Express),2023,30485,36540,44705
Mondi,2020,64000,88738,114129
Mondi,2021,71995,98722,149578
Mondi,2019,26084,33399,48500
Moneysupermarket,2023,46066,69242,91387
Moneysupermarket,2022,38169,59705,80285
Moneysupermarket,2021,39105,54342,73499
Moneysupermarket,2020,35124,49436,66628
Moneysupermarket,2019,35444,49490,67634
Moonpig,2025,43200,74500,109900
Moonpig,2023,32000,54000,83000
Moonpig,2022,57370,82145,111114
Morgan Advanced Materials,2022,25451,42005,49371
Morgan Advanced Materials,2021,22533,34725,42442
Morgan Advanced Materials,2020,22464,31550,38723
Morgan Advanced Materials,2019,21958,25927,39926
Morgan Advanced Materials,2023,22345,28591,45426
Morgan Sindall,2022,43000,59000,99000
Morgan Sindall,2021,46000,53000,85000
Morgan Sindall,2020,36000,45000,75000
Morgan Sindall,2019,37481,50249,80430
Morgan Sindall,2023,41000,73000,90000
Morrisons,2021,19038,20695,24435
Morrisons,2020,18202,19340,23321
National Express,2022,26546,31354,38962
National Express,2021,24179,28023,33707
National Express,2020,25545,29418,34083
National Express,2019,23889,23942,33804
National Grid,2025,54440,71802,94191
National Grid,2021,48657,62867,81548
National Grid,2022,48038,61834,80297
National Grid,2020,47849,61842,80614
National Grid,2024,54098,70388,92336
National Grid,2023,50493,65112,84466
Natwest,2020,26000,40000,66000
Natwest,2021,28000,41000,70000
Natwest,2019,25742,38199,65684
Natwest,2024,36000,53000,87000
Natwest,2023,33000,50000,81000
Natwest,2022,27000,40000,58000
NCC,2023,47000,74000,74000
NCC,2022,46000,74000,107000
NCC,2021,41000,61000,99000
Next,2025,21571,23646,36450
Next,2021,17643,19063,21306
Next,2022,15669,17911,21795
Next,2020,17446,17859,24891
Next,2024,19965,20465,27412
Next,2023,19852,22190,31795
Ninety One,2024,102205,160563,261402
Ninety One,2023,97701,152586,267567
Ninety One,2022,98327,154514,284631
Ocado,2020,21900,22400,28500
Ocado,2021,22300,23900,29400
Ocado,2019,20800,22500,25100
Ocado,2023,26000,27300,32500
Ocado,2022,23600,25100,29500
One Savings,2019,24600,41800,61500
OSB Group,2024,31300,48300,86500
OSB Group,2023,32000,47000,70000
OSB Group,2022,35000,44000,68000
OSB Group,2020,29000,36000,54000
OSB Group,2021,31000,46000,72000
Oxford Biomedica,2021,31000,42000,57000
Oxford Biomedica,2020,31000,42000,55000
Oxford Biomedica,2019,29000,38000,50000
Oxford Instruments,2025,36336,47565,62601
Oxford Instruments,2024,34001,45261,61326
Oxford Instruments,2023,33669,45143,60614
Oxford Instruments,2021,30891,40781,56284
Oxford Instruments,2022,31948,43015,57485
Oxford Instruments,2020,29396,38502,55148
PageGroup,2024,34340,51890,78330
PageGroup,2023,32560,48840,76310
PageGroup,2022,30891,47708,75600
PageGroup,2020,27431,43245,68694
PageGroup,2021,29700,45720,71030
PageGroup,2019,25614,39093,64281
Paragon Banking Group,2023,30000,40000,64000
Paragon Banking Group,2022,30000,40000,65000
Paragon Banking Group,2020,25000,34000,58000
Paragon Banking Group,2021,27000,36000,60000
Paragon Banking Group,2019,24000,32000,54000
Pearson,2024,35407,53304,82835
Pearson,2021,34420,35625,58419
Pearson,2020,27976,37272,60974
Pearson,2019,28164,39375,51575
Pearson,2023,37066,53685,75912
Pearson,2022,31993,37816,58428
Pennon Group,2025,31002,41392,53977
Pennon Group,2020,25184,32221,43388
Pennon Group,2024,29617,39071,50343
Pennon Group,2023,27035,34871,45909
Pennon Group,2021,24803,33794,42843
Pennon Group,2022,26080,38207,44566
Persimmon,2024,38539,43325,63730
Persimmon,2021,26005,43306,57485
Persimmon,2020,23748,39645,47828
Persimmon,2019,29500,33409,44728
Persimmon,2023,27326,43373,69381
Persimmon,2022,28644,37314,58147
Petrofac,2021,61221,74742,84239
Petrofac,2019,49288,68929,81686
Petrofac,2020,50485,66124,77207
Pets At Home,2024,22532,27353,35813
Pets At Home,2023,22501,26748,35224
Pets At Home,2021,20198,24330,31029
Pets At Home,2022,20806,25430,35211
Pets At Home,2020,17879,20671,27107
Phoenix,2024,42058,66117,96510
Phoenix,2021,27577,39878,69901
Phoenix,2020,25970,37440,64678
Phoenix,2019,31605,47899,74469
Phoenix,2023,32217,53493,85926
Phoenix,2022,30600,44223,75368
Playtech,2023,43443,62068,92117
Playtech,2022,37728,56860,83813
Playtech,2020,39306,55089,80907
Playtech,2021,39868,57029,85662
Playtech,2019,34761,48441,71696
Polypipe,2020,23529,28480,36109
Polypipe,2019,21260,24984,33112
Premier Foods,2023,29085,34540,44613
Premier Foods,2022,29085,34540,44613
Premier Foods,2021,24600,33309,41535
Premier Foods,2020,23927,28890,40381
Provident Financial,2021,24900,29800,44800
Provident Financial,2020,28600,30800,38900
Provident Financial,2019,24200,28000,32300
Prudential,2021,77304,109392,165546
Prudential,2020,65779,98669,145654
Prudential,2019,77000,100000,155000
PZ Cussons,2023,35695,54004,89263
PZ Cussons,2022,38553,50368,79195
PZ Cussons,2021,37949,52549,79627
PZ Cussons,2020,35133,50013,74797
Qinetiq,2024,43906,58329,76690
Qinetiq,2023,40608,54216,70569
Qinetiq,2022,37286,50831,66297
Qinetiq,2021,36959,50147,65685
Qinetiq,2020,35732,48965,64620
Quilter,2023,39300,60000,101600
Quilter,2022,36196,56092,96835
Quilter,2021,33963,51399,93358
Quilter,2020,29633,45349,78368
Quilter,2019,30478,48486,69114
Rank Group,2021,18910,19489,24757
Rank Group,2020,17249,17824,22959
Rathbone Bros,2023,36660,75057,136631
Rathbone Bros,2022,35328,68998,184568
Rathbone Bros,2021,26604,79250,188879
Rathbone Bros,2020,31701,60249,125467
Rathbone Bros,2019,30161,52142,110100
Reach,2021,34853,39376,50825
Reach,2020,29305,35351,44672
Reckitt Benckiser,2024,42086,55921,97354
Reckitt Benckiser,2021,35045,49261,76581
Reckitt Benckiser,2020,34553,47698,84433
Reckitt Benckiser,2019,33224,45795,75561
Reckitt Benckiser,2023,39069,53506,93980
Reckitt Benckiser,2022,36998,49842,88128
Redde Northgate,2023,24000,29000,41000
Redde Northgate,2022,23000,28000,41000
Redde Northgate,2021,21053,26786,40547
Redrow,2023,32098,50309,78002
Redrow,2022,29000,46082,70897
Redrow,2021,27312,44293,66694
Redrow,2020,26069,40581,60756
RELX,2021,43000,64000,92000
RELX,2020,40000,59000,86000
RELX,2019,38582,58261,86810
RELX,2022,44000,64000,93000
RELX,2023,46000,69000,97000
Renewi,2024,33021,38588,52928
Renishaw,2023,27484,45554,55940
Renishaw,2022,31099,42246,48457
Renishaw,2021,28438,37720,45170
Renishaw,2020,27476,35619,51683
Rentokil,2024,25016,27321,34363
Rentokil,2021,21385,25894,34910
Rentokil,2020,19975,25343,36531
Rentokil,2019,20718,26347,38303
Rentokil,2023,21718,27111,37881
Rentokil,2022,23808,29109,41596
Restaurant Group,2022,21880,24411,28491
Restaurant Group,2020,22318,22648,25578
Rightmove,2021,26730,49386,72203
Rightmove,2020,29854,51155,73266
Rightmove,2019,30204,48433,66054
Rightmove,2023,33060,59481,85130
Rightmove,2022,30844,56394,81168
Rolls Royce,2024,55219,63976,76643
Rolls Royce,2021,44800,52000,63100
Rolls Royce,2020,42700,50100,59400
Rolls Royce,2019,48000,56000,65000
Rolls Royce,2023,53545,62168,73618
Rolls Royce,2022,51000,60000,70100
Rotork,2024,35000,44000,73000
Rotork,2023,37000,46000,64000
Rotork,2022,31000,34000,57000
Rotork,2021,32000,35000,48000
Rotork,2019,29000,33000,53000
Rotork,2020,30000,36000,48000
Royal Dutch Shell,2024,103390,141334,216048
Royal Dutch Shell,2021,65123,111912,170289
Royal Dutch Shell,2020,55584,90972,136007
Royal Dutch Shell,2019,59419,100755,161717
Royal Dutch Shell,2023,99599,136066,205155
Royal Dutch Shell,2022,72632,121847,192995
Royal Mail,2021,28668,32101,37776
Royal Mail,2022,28803,32465,38388
Royal Mail,2020,28064,30947,36221
RS Group,2022,22552,27770,46333
RS Group,2021,15666,17624,31653
RS Group,2024,27455,35284,59203
RS Group,2023,25349,32845,55134
RSA,2020,23394,35161,59992
RSA,2019,23152,33754,59663
Safestore Holdings,2024,27626,30106,38934
Safestore Holdings,2023,24866,27499,37270
Safestore Holdings,2022,24031,26849,36939
Safestore Holdings,2021,23502,26019,35686
Safestore Holdings,2020,18500,24240,30852
Safestore Holdings,2019,19067,20669,25029
Sage,2021,35807,53304,79739
Sage,2020,29865,45942,71524
Sage,2019,26463,40385,66095
Sage,2023,39536,58417,87553
Sage,2022,38056,57421,85380
Sainsbury's,2025,23934,26552,26722
Sainsbury's,2022,18780,20680,21306
Sainsbury's,2021,19107,19107,21851
Sainsbury's,2020,18039,18039,20370
Sainsbury's,2024,21685,23160,24282
Sainsbury's,2023,19990,21635,22729
Sanne Group,2020,36140,57487,94203
Sanne Group,2019,33128,53614,83593
Savills Group,2024,26623,38135,66028
Savills Group,2023,25147,35881,63726
Savills Group,2022,21769,32757,60555
Savills Group,2021,24377,34378,62359
Savills Group,2020,20144,32001,60062
Savills Group,2019,27626,40981,73564
Schroders,2024,69105,107218,173378
Schroders,2021,63093,100761,173941
Schroders,2020,57205,89541,150310
Schroders,2019,55400,89743,154667
Schroders,2023,66536,105779,169250
Schroders,2022,63067,101409,167622
SDL,2019,31509,44494,71646
Segro,2024,76000,124000,182000
Segro,2023,78000,123000,179000
Senior,2023,27299,37659,47434
Senior,2022,27392,31484,38692
Serco,2024,30415,32161,45674
Serco,2023,24340,32208,34356
Serco,2022,31117,34007,43301
Serco,2021,23816,28801,32992
Serco,2020,26611,33127,34709
Serco,2019,26066,30072,34420
Severn Trent,2025,38900,50900,61900
Severn Trent,2022,34000,43500,52400
Severn Trent,2021,30500,36600,50100
Severn Trent,2020,32700,42100,51300
Severn Trent,2024,37100,47800,58300
Severn Trent,2023,34200,43900,52900
Signature Aviation,2019,27932,37120,44980
Smith & Nephew,2024,39220,55556,83839
Smith & Nephew,2021,31778,46374,69763
Smith & Nephew,2020,31481,45325,74310
Smith & Nephew,2019,30400,43375,68614
Smith & Nephew,2023,36375,51553,80862
Smith & Nephew,2022,32794,48855,74799
Smiths (DS),2021,28042,35384,42142
Smiths (DS),2020,27244,32342,40349
Smiths (DS),2023,31850,40288,41564
Smiths (DS),2022,31877,42645,46215
Smiths Group,2021,30754,42535,67845
Smiths Group,2020,29391,41335,64101
Smiths Group,2023,33452,46789,69392
Smiths Group,2022,31375,47507,69420
Smiths Group,2024,35678,53150,81555
Smurfitt Kappa,2021,35394,46379,64819
Softcat,2023,25594,41929,77393
Softcat,2022,28574,44594,79816
Softcat,2021,29184,45347,81661
Softcat,2020,30215,46300,83274
Spectris,2023,32740,46688,64922
Spectris,2022,33712,46440,66029
Spectris,2021,31192,44611,63209
Spectris,2020,29909,39531,56226
Spectris,2019,28509,37789,54990
Spirax Sarco,2024,38000,44000,70000
Spirax Sarco,2021,29839,40014,54043
Spirax Sarco,2020,29286,33707,48964
Spirax Sarco,2019,25391,37503,60618
Spirax Sarco,2023,35313,41510,64611
Spirax Sarco,2022,33622,47416,60250
Spire Healthcare,2023,24911,32876,48223
Spire Healthcare,2022,23800,32810,47281
Spire Healthcare,2021,19285,23529,44503
Spirent Communications,2023,36000,57919,91464
Spirent Communications,2022,44290,65605,102431
Spirent Communications,2021,46758,67513,114830
Spirent Communications,2020,37081,58484,102506
Spirent Communications,2019,34979,47063,106327
SSE,2025,40000,57000,75000
SSE,2022,33046,43793,61195
SSE,2021,32268,42295,59454
SSE,2020,29234,40908,54863
SSE,2023,34881,47864,65199
SSP Group,2024,23489,29919,32400
SSP Group,2023,23613,30356,31868
SSP Group,2022,26435,37465,36824
SSP Group,2021,21525,25832,35709
SSP Group,2020,15203,15573,22461
St James's Place,2021,41622,57324,61426
St James's Place,2021,37317,58307,104252
St James's Place,2020,31806,50000,77876
St James's Place,2019,34437,53936,88595
St James's Place,2024,46597,63671,94654
St James's Place,2023,40828,59600,105450
St James's Place,2022,41622,57324,102845
St Modwen Properties,2019,30957,51470,80096
Standard Chartered,2021,92000,139000,215000
Standard Chartered,2020,84000,128000,199000
Standard Chartered,2019,83000,128000,212000
Standard Chartered,2024,113000,164000,247000
Standard Chartered,2023,110000,162000,247000
Standard Chartered,2022,95000,145000,228000
Standard Life Aberdeen,2021,45000,62000,113000
Standard Life Aberdeen,2020,38000,61000,102000
Standard Life Aberdeen,2019,44000,64000,117000
SThree,2023,28346,45255,75873
SThree,2022,23281,42104,68558
Synthomer,2022,40400,46029,63683
Synthomer,2021,42277,52342,72622
Synthomer,2020,42030,55854,70401
Synthomer,2019,36069,45012,62619
TalkTalk Group,2021,29155,42400,61480
TalkTalk Group,2020,35567,50810,76214
Tate & Lyle,2024,39051,88839,149770
Tate & Lyle,2023,45132,91447,156187
Tate & Lyle,2022,48748,97860,175464
Tate & Lyle,2021,45921,88780,154671
Tate & Lyle,2020,46064,93677,201522
Taylor Wimpey,2024,37820,52072,77723
Taylor Wimpey,2021,31651,46455,69721
Taylor Wimpey,2020,28389,42492,56844
Taylor Wimpey,2019,32342,41483,62418
Taylor Wimpey,2023,32355,52296,68305
Taylor Wimpey,2022,34130,51838,81411
Telecom Plus,2025,28090,32839,46433
Telecom Plus,2023,23223,27186,37313
Telecom Plus,2023,24565,28532,35829
Telecom Plus,2022,15305,27752,35029
Telecom Plus,2021,19300,27700,35000
Telecom Plus,2020,15632,27000,37125
Tesco,2025,22452,24731,28358
Tesco,2022,18912,21217,21937
Tesco,2021,19362,22239,22724
Tesco,2020,18086,21057,23046
Tesco,2024,22180,23010,25583
Tesco,2023,19196,22533,24374
TI Fluid Systems,2023,32000,40000,72000
TI Fluid Systems,2022,25795,31814,55890
TI Fluid Systems,2021,21836,30234,52070
TI Fluid Systems,2020,23000,39000,60000
TI Fluid Systems,2019,26455,31746,52910
TP ICAP,2023,65189,117661,221336
TP ICAP,2022,61938,111537,210167
TP ICAP,2021,58448,106055,209029
TP ICAP,2020,57128,107115,233703
TP ICAP,2019,57064,109716,230554
Trainline,2024,47000,81000,97000
Trainline,2023,45000,75000,98000
Trainline,2022,38000,71000,92000
Trainline,2021,41000,70000,93000
Trainline,2020,29000,47000,64000
Travis Perkins,2024,27019,30144,35841
Travis Perkins,2023,24372,28035,34349
Travis Perkins,2022,23169,26506,32830
Travis Perkins,2021,21617,26462,33116
Travis Perkins,2020,19019,23097,30166
Travis Perkins,2019,19760,24154,32332
Trustpilot,2024,51335,78976,122414
Trustpilot,2023,64374,83200,97080
Tullow Oil,2022,119884,183913,249639
Tullow Oil,2021,118182,181098,244252
Tyman,2023,25720,30860,44100
Tyman,2021,19897,23524,36451
Ultra Electronics,2021,29060,43374,60814
Ultra Electronics,2020,30915,4416,60963
Ultra Electronics,2019,29549,43151,59500
Unilever,2024,53620,66215,100517
Unilever,2021,48229,60306,90335
Unilever,2020,45713,55751,80670
Unilever,2019,50689,61086,87982
Unilever,2023,52551,65305,103527
Unilever,2022,49868,61553,93612
Unite Group,2024,26600,29800,40000
Unite Group,2023,24700,32500,36600
Unite Group,2022,22400,25900,37700
Unite Group,2021,24400,25300,32800
Unite Group,2020,21200,24600,32000
Unite Group,2019,20620,24414,33459
United Utilities,2025,41000,55000,69000
United Utilities,2022,35000,46000,59000
United Utilities,2021,34000,46000,58000
United Utilities,2020,33000,44000,56000
United Utilities,2024,39000,53000,66000
United Utilities,2023,37000,49000,61000
Vanquis Banking,2022,25900,36000,65000
Vectura,2020,40241,56801,89607
Vectura,2019,39815,55161,87891
Vesuvius,2023,41367,53938,108893
Vesuvius,2022,36030,47013,84926
Vesuvius,2021,33216,43233,82829
Vesuvius,2020,37119,45000,75293
Vesuvius,2019,37119,45000,75293
Victrex,2023,47804,54269,66755
Victrex,2022,45336,52561,64250
Victrex,2021,46836,53804,66765
Victrex,2020,43520,49828,63556
Victrex,2019,42864,48002,60799
Videndum,2022,29804,42020,69610
Videndum,2021,26361,37726,58866
Virgin Money,2023,29118,40254,63629
Virgin Money,2022,28626,38546,61013
Virgin Money,2021,25851,35627,59006
Virgin Money,2020,24047,31892,52329
Vistry Group,2023,36722,54613,79944
Vistry Group,2022,26743,45740,72111
Vistry Group,2021,33757,52511,73844
Vistry Group,2020,30000,43883,65586
Vistry Group,2019,36091,49792,64500
Vodafone,2025,47000,75700,90500
Vodafone,2022,36900,57500,87200
Vodafone,2021,33500,41000,85300
Vodafone,2020,31300,51100,78600
Vodafone,2024,41300,63700,88500
Vodafone,2023,34600,70500,92800
Volution Group,2024,24332,25888,45556
Volution Group,2023,23870,27185,50552
Volution Group,2022,20157,22255,31612
Volution Group,2021,18710,22000,30450
Watches of Switzerland,2023,23100,26900,36200
Watches of Switzerland,2022,22000,26100,35500
Watches of Switzerland,2021,20100,23900,33100
Watches of Switzerland,2020,20500,24900,36300
Weir Group,2024,41601,54502,84513
Weir Group,2023,40042,49045,71369
Weir Group,2022,37457,47845,64254
Weir Group,2021,33250,42070,58069
Weir Group,2020,32772,40093,52671
Weir Group,2019,30977,39772,51374
Wetherspoons,2022,21638,22599,33899
Wetherspoons,2021,19829,20325,21395
Wetherspoons,2020,14760,23063,27333
WH Smith,2023,21598,21598,27030
WH Smith,2022,18850,18910,25011
WH Smith,2021,16795,16795,22950
WH Smith,2020,17684,18203,23016
WH Smith,2019,14276,16502,17034
Whitbread,2025,24427,25236,27068
Whitbread,2022,19659,20592,22153
Whitbread,2021,18682,19539,20824
Whitbread,2020,17597,18429,19739
Whitbread,2024,22450,23421,25350
Whitbread,2023,21326,22224,23938
William Hill,2020,17162,19216,21075
William Hill,2019,16268,19265,20918
Wizz Air,2024,24423,29575,52104
Wizz Air,2023,25688,31339,50055
Wizz Air,2022,20906,28472,58927
Wizz Air,2021,21760,27978,47744
Wood Group,2023,52000,75000,99000
Wood Group,2022,47000,68000,93000
Wood Group,2021,45000,68000,86000
Wood Group,2020,42000,66000,80000
Wood Group,2019,35000,46000,68000
Workspace,2024,37750,51498,82463
Workspace,2023,33286,48886,73350
WPP,2024,40831,71587,105638
WPP,2021,37606,48293,68585
WPP,2020,31800,46800,73840
WPP,2019,32636,46975,77416
WPP,2023,41587,64234,92627
WPP,2022,43417,56460,82551
XP Power,2021,32801,53138,87833
XP Power,2020,26924,43210,74903
XP Power,2019,28813,46100,76833
Zigup,2023,24000,29000,41000
